District_ID,School_ID,School_Name
90331,87412,Envision High School
90508,90509,BASIS Oro Valley
90532,90635,Great Hearts Academies - Anthem Prep
90533,88388,Northpoint Expeditionary Learning Academy
90536,90907,Arizona Collegiate High School
90548,91158,Mission Heights Preparatory High School
90548,1001670,Leona Connected High School
90758,91184,Astravo Online Academy 
90758,91246,Astravo Online Academy
90779,90780,Arizona Agribusiness & Equine Center - Estrella
90841,91055,BASIS Peoria
90842,91056,BASIS Chandler
90859,91156,Great Hearts Academies - Trivium Prep
90861,91781,Great Hearts Academies - Maryvale Prep
90862,90863,BASIS Flagstaff
90876,91782,Changemaker High School
90879,91422,Great Hearts Academies - North Phoenix Prep
90997,90998,Pima Rose Academy
91131,91132,"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley"
91277,92975,Empower College Prep High School
91280,91343,BASIS Phoenix
91303,91304,ASU Preparatory Academy- Phoenix High School
91305,91306,ASU Preparatory Academy-Polytechnic High School
91309,91766,BASIS Tucson North
91339,92030,BASIS Ahwatukee
91935,92605,Madison Highland Prep
91937,92619,Western School of Science and Technology
91949,91997,BASIS Mesa
91958,92984,"Arizona Autism Charter School, Upper School Campus"
91958,1001693,Arizona Autism Charter - Online High School
91992,92497,Las Puertas Community School
92043,92044,Southwest Leadership Academy
92226,90377,Sequoia Pathway Academy
92316,92317,Great Hearts Academies - Cicero Prep
92320,92321,BASIS Prescott
92519,92522,Heritage Academy Gateway
92520,92521,Heritage Academy Laveen
92657,92732,Great Hearts Academies - Lincoln Prep
92734,92735,BASIS Goodyear
92976,1000047,Think Through Academy
92982,703390,Highland Prep
92983,850102,Pathways in Education
92987,635758,ASU Preparatory Academy - Casa Grande HS
92988,181823,Maricopa Institute of Technology
134379,156568,"Arizona Agribusiness & Equine Center, Inc. - Mesa"
134379,1001738,AAEC Online
346763,92248,ASU Preparatory Academy - South Phoenix High School
449790,742847,RCB College Preparatory Academy
522074,860177,ASU Preparatory Academy Digital
1000166,1000972,A+ Charter Schools
1000291,1000304,Valor Preparatory Academy
1000979,1000980,Freedom Prep Academy - Mesa
1001346,1001427,Ridgeview College Preparatory High School
1001687,1001688,New Crossroads Academy
1001719,1001732,Online School of Arizona
1001949,1001974,The Excel Center - Encanto
